Three-Digit ZIP Code,Year,Quarter,Index (NSA)
6,1995,1,100
6,1995,2,103.41
6,1995,3,108.18
6,1995,4,113.2
6,1996,1,115.34
6,1996,2,116.77
6,1996,3,117.9
6,1996,4,119.76
6,1997,1,120.95
6,1997,2,124.19
6,1997,3,128.58
6,1997,4,125.39
6,1998,1,130.82
6,1998,2,131.94
6,1998,3,135.97
6,1998,4,137.78
6,1999,1,142.58
6,1999,2,141.05
6,1999,3,145.99
6,1999,4,146.06
6,2000,1,146.02
6,2000,2,149.5
6,2000,3,152.42
6,2000,4,153.93
6,2001,1,162.12
6,2001,2,162.73
6,2001,3,163.45
6,2001,4,164.37
6,2002,1,168.99
6,2002,2,169.4
6,2002,3,171.36
6,2002,4,173.26
6,2003,1,177.97
6,2003,2,178.88
6,2003,3,180.02
6,2003,4,179.78
6,2004,1,183.45
6,2004,2,183.9
6,2004,3,188.67
6,2004,4,192.3
6,2005,1,192.63
6,2005,2,198.06
6,2005,3,199.09
6,2005,4,200.8
6,2006,1,203.61
6,2006,2,203.19
6,2006,3,207.52
6,2006,4,204.4
6,2007,1,211.5
6,2007,2,213.96
6,2007,3,210.92
6,2007,4,209.89
6,2008,1,214.85
6,2008,2,207.08
6,2008,3,210.91
6,2008,4,205.86
6,2009,1,213.55
6,2009,2,210.85
6,2009,3,212.99
6,2009,4,204.01
6,2010,1,211
6,2010,2,209.66
6,2010,3,218.11
6,2010,4,209.12
6,2011,1,207.08
6,2011,2,204.57
6,2011,3,201.51
6,2011,4,200
6,2012,1,205.56
6,2012,2,202.59
6,2012,3,205.91
6,2012,4,203.36
6,2013,1,203.57
6,2013,2,202.17
6,2013,3,194.67
6,2013,4,189.71
6,2014,1,194.87
6,2014,2,193.96
6,2014,3,182.31
6,2014,4,177.79
6,2015,1,176.15
6,2015,2,180
6,2015,3,174.66
6,2015,4,174.44
6,2016,1,176.88
6,2016,2,165.97
6,2016,3,175.82
6,2016,4,165.59
6,2017,1,167.44
6,2017,2,160.05
6,2017,3,158.74
6,2017,4,162.32
6,2018,1,163.31
6,2018,2,156.75
6,2018,3,157.3
6,2018,4,153.22
6,2019,1,161.39
6,2019,2,159.94
6,2019,3,169.24
6,2019,4,169.98
6,2020,1,164.77
6,2020,2,181.83
6,2020,3,182.68
6,2020,4,191.93
6,2021,1,190.67
6,2021,2,190.99
6,2021,3,197.13
6,2021,4,201.85
6,2022,1,205.31
6,2022,2,200.62
6,2022,3,208.13
6,2022,4,204.84
6,2023,1,207.82
6,2023,2,223.66
6,2023,3,200.17
6,2023,4,205.3
6,2024,1,243.24
6,2024,2,248.01
10,1995,1,100
10,1995,2,101.39
10,1995,3,103.63
10,1995,4,103.66
10,1996,1,104.96
10,1996,2,103.53
10,1996,3,102.92
10,1996,4,103.46
10,1997,1,104.04
10,1997,2,105
10,1997,3,105.37
10,1997,4,106.52
10,1998,1,107.96
10,1998,2,108.63
10,1998,3,109.19
10,1998,4,110.43
10,1999,1,110.83
10,1999,2,111.83
10,1999,3,114.81
10,1999,4,114.97
10,2000,1,117.21
10,2000,2,117.88
10,2000,3,119.81
10,2000,4,121.43
10,2001,1,124.81
10,2001,2,126.81
10,2001,3,130.22
10,2001,4,131.12
10,2002,1,134.3
10,2002,2,138.09
10,2002,3,142.49
10,2002,4,145.04
10,2003,1,147.53
10,2003,2,150.38
10,2003,3,154.59
10,2003,4,161.24
10,2004,1,163.89
10,2004,2,169.89
10,2004,3,178.04
10,2004,4,182.9
10,2005,1,188.2
10,2005,2,194.2
10,2005,3,199.37
10,2005,4,202.46
10,2006,1,204.31
10,2006,2,205.14
10,2006,3,203.74
10,2006,4,207.01
10,2007,1,208.27
10,2007,2,207.5
10,2007,3,206.22
10,2007,4,207.68
10,2008,1,206.71
10,2008,2,201.66
10,2008,3,195.61
10,2008,4,195.88
10,2009,1,198.5
10,2009,2,193.36
10,2009,3,191.27
10,2009,4,192.06
10,2010,1,191.02
10,2010,2,188.73
10,2010,3,190.82
10,2010,4,190.37
10,2011,1,187.12
10,2011,2,185.07
10,2011,3,184.74
10,2011,4,184.47
10,2012,1,183.48
10,2012,2,182.63
10,2012,3,182.72
10,2012,4,183.69
10,2013,1,182.48
10,2013,2,182.56
10,2013,3,182.2
10,2013,4,183.46
10,2014,1,181.04
10,2014,2,183.25
10,2014,3,185.3
10,2014,4,185.67
10,2015,1,185.82
10,2015,2,187.62
10,2015,3,190.09
10,2015,4,187.6
10,2016,1,187.82
10,2016,2,191.73
10,2016,3,193.19
10,2016,4,193.56
10,2017,1,194.34
10,2017,2,197.29
10,2017,3,197.61
10,2017,4,200.56
10,2018,1,200.91
10,2018,2,204.72
10,2018,3,206.09
10,2018,4,206.05
10,2019,1,206.05
10,2019,2,211.61
10,2019,3,214.98
10,2019,4,216.1
10,2020,1,218.18
10,2020,2,220.05
10,2020,3,225.38
10,2020,4,231.99
10,2021,1,237.71
10,2021,2,247.82
10,2021,3,262.61
10,2021,4,267.93
10,2022,1,274.33
10,2022,2,284.55
10,2022,3,290.19
10,2022,4,287.38
10,2023,1,300.45
10,2023,2,300.82
10,2023,3,312.56
10,2023,4,312.69
10,2024,1,311.55
10,2024,2,328
11,1995,1,100
11,1995,2,103.15
11,1995,3,105.63
11,1995,4,106.58
11,1996,1,107.88
11,1996,2,106.95
11,1996,3,101.13
11,1996,4,103.2
11,1997,1,104.41
11,1997,2,107.06
11,1997,3,107.19
11,1997,4,106.41
11,1998,1,111.58
11,1998,2,112.62
11,1998,3,113.84
11,1998,4,114.96
11,1999,1,115.41
11,1999,2,115.39
11,1999,3,118.06
11,1999,4,117.12
