LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,AQSN_DTE,ORIG_DTE,FRST_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,LPI_DTE,FCC_DTE,DISP_DTE,SERVICER,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST
000135176712,B,Other,6.5,206000,360,60,60,1,36,797,N,P,PU,1,I,IL,605,NULL,NULL,N,None,2023-03-01,2023-01-01,2023-03-01,6.5,203301.16,16980,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,797,343333.33,,,,,,,,
000135176713,R,"Rocket Mortgage, LLC",6.38,162000,360,50,50,1,41,746,N,C,SF,1,P,NY,141,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.38,157651.2,15380,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,746,324000,,,,,,,,
000135176714,B,"United Wholesale Mortgage, LLC",7.62,206000,360,75,75,2,26,799,N,P,PU,1,I,NC,284,NULL,806,N,None,2023-03-01,2022-12-01,2023-02-01,7.62,193793.1,34820,,,,,,,,,,,,,,,"United Wholesale Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,799,274666.67,,,,,,,,
000135176715,C,Other,6.75,361000,360,85,85,1,48,788,Y,P,SF,1,P,IL,605,12,NULL,N,BPMI,2023-03-01,2022-12-01,2023-02-01,6.75,356732.76,16980,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,788,424705.88,,,,,,,,
000135176716,R,Other,7,350000,360,50,50,2,37,619,N,P,SF,1,P,UT,840,NULL,671,N,None,2023-03-01,2022-12-01,2023-02-01,7,354912.91,39340,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,619,700000,,,,,,,,
000135176717,C,"Planet Home Lending, LLC",6.62,311000,360,75,75,1,41,739,N,R,SF,1,I,CO,809,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.62,307264.38,17820,,,,,,,,,,,,,,,"Planet Home Lending, LLC",,,,,,,,,,,,,,,,,,,,,,739,414666.67,,,,,,,,
000135176718,R,"Guaranteed Rate, Inc.",6.1,293000,360,90,90,1,42,733,Y,P,SF,1,P,MN,559,25,NULL,N,BPMI,2023-03-01,2022-12-01,2023-02-01,6.1,287119.24,40340,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,733,325555.56,,,,,,,,
000135176719,C,Nationstar Mortgage LLC,6.62,312000,360,80,80,2,15,761,Y,P,PU,1,P,AR,727,NULL,759,N,None,2023-03-01,2022-11-01,2023-01-01,6.62,282589.68,22220,,,,,,,,,,,,,,,Nationstar Mortgage LLC,,,,,,,,,,,,,,,,,,,,,,759,390000,,,,,,,,
000135176720,R,"Guaranteed Rate, Inc.",6.88,120000,360,34,34,1,48,793,N,P,CO,1,I,CT,064,NULL,NULL,N,None,2023-03-01,2022-10-01,2022-12-01,6.88,115324.4,14860,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,793,352941.18,,,,,,,,
000135176721,R,Other,5.62,257000,180,75,75,1,32,755,N,P,PU,1,I,TX,787,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,5.62,243598.8,12420,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,755,342666.67,,,,,,,,
000135176722,R,"Rocket Mortgage, LLC",6.88,120000,360,67,67,1,34,682,N,C,CP,1,P,NY,106,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-01-01,6.88,118315.69,35620,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,682,179104.48,,,,,,,,
000135176723,R,"loanDepot.com, LLC",7.62,150000,360,71,71,2,42,715,N,C,SF,1,P,MO,644,NULL,756,N,None,2023-03-01,2022-11-01,2023-01-01,7.62,149000,41140,,,,,,,,,,,,,,,"loanDepot.com, LLC",,,,,,,,,,,,,,,,,,,,,,715,211267.61,,,,,,,,
000135176724,R,Guild Mortgage Company LLC,6.12,216000,360,80,80,1,43,762,Y,P,SF,1,P,NV,898,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.12,209436.89,00000,,,,,,,,,,,,,,,Guild Mortgage Company LLC,,,,,,,,,,,,,,,,,,,,,,762,270000,,,,,,,,
000135176725,R,"Wells Fargo Bank, N.A.",4.38,200000,180,45,45,1,34,779,N,P,PU,1,P,TX,761,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,4.38,188701.54,19100,,,,,,,,,,,,,,,"Wells Fargo Bank, N.A.",,,,,,,,,,,,,,,,,,,,,,779,444444.44,,,,,,,,
000135176726,R,Other,5.75,250000,180,39,39,2,37,789,N,P,PU,1,P,OR,977,NULL,777,N,None,2023-03-01,2023-01-01,2023-03-01,5.75,147239.81,13460,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,777,641025.64,,,,,,,,
